Time,atrium,kitchen,livingroom,toilet,bedroom,Room,bel(A),bel(K),bel(L),bel(T),bel(B)
171.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
172.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
173.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
174.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
175.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
176.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
177.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
178.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
179.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
180.0,1,1,1,0,0,kitchen,0.02657827796192092,0.89854312803515,0.024959531334309726,0.024959531334309726,0.024959531334309726
181.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
182.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
183.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
184.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
185.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
186.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
187.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
188.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
189.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
190.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
191.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
192.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
193.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
194.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
195.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
196.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
197.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
198.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
199.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
200.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
201.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
202.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
203.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
204.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
205.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
206.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
207.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
208.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
209.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
210.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
211.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
212.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
213.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
214.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
215.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
216.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
217.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
218.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
219.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
220.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
221.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
222.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
223.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
224.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
225.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
226.0,1,1,0,0,0,kitchen,0.4969394313454617,0.4591263006832885,0.007988048722045421,0.017973109624602197,0.017973109624602197
