Time,atrium,kitchen,livingroom,toilet,bedroom,bel(A),bel(K),bel(L),bel(T),bel(B)
739.0,1,1,0,0,0,0.4192113287401575,0.2568921542814961,0.11098100762795277,0.11098100762795277,0.10193450172244095
740.0,1,1,0,0,0,0.42025498127460625,0.2566075211829478,0.11075231473609742,0.11075231473609742,0.10163286807025097
741.0,1,1,0,0,0,0.4199563940914739,0.2567477167567591,0.11080394651823175,0.11080394651823175,0.1016879961153036
742.0,1,1,0,0,0,0.4200449362496553,0.2566970875688755,0.11079315394045902,0.11079315394045902,0.10167166830055108
743.0,1,1,0,0,0,0.4200186782513034,0.25671210764432484,0.11079606998538258,0.11079606998538258,0.10167707413360656
744.0,1,1,0,0,0,0.4200264089374787,0.2567078435396131,0.1107951666255306,0.1107951666255306,0.10167541427184673
745.0,1,1,0,0,0,0.4200241397575095,0.2567090758891262,0.11079544222016485,0.11079544222016485,0.10167589991303468
746.0,0,1,0,0,0,0.15443253070748408,0.32310678244632096,0.17719342965016838,0.17719342965016835,0.16807382754585826
747.0,0,1,0,0,0,0.14646477989895162,0.30517935739792634,0.18582514908429387,0.18582514908429387,0.17670556453453434
748.0,0,1,0,0,0,0.14556176744604132,0.30688246647755857,0.18500513469866736,0.18500513469866736,0.17754549667906533
749.0,0,1,0,0,0,0.1454732591693237,0.3070287985600521,0.185038425168935,0.185038425168935,0.1774210919327543
750.0,0,1,0,0,0,0.1454852571025712,0.30697336976364564,0.18505525715690935,0.18505525715690935,0.1774308588199645
751.0,0,1,0,0,0,0.1454843404035164,0.306978488274191,0.18505235112007115,0.1850523511200712,0.17743246908215016
752.0,0,1,0,0,0,0.14548417479380255,0.3069788925140097,0.1850524387547734,0.1850524387547734,0.1774320551826409
753.0,0,1,0,0,0,0.14548421535570494,0.3069787276709501,0.18505248677776576,0.18505248677776576,0.1774320834178135
754.0,0,1,0,0,0,0.14548421273499718,0.3069787433606598,0.1850524779867224,0.1850524779867224,0.17743208793089835
755.0,0,1,0,0,0,0.14548421227058517,0.30697874448580587,0.18505247827649338,0.18505247827649338,0.17743208669062227
756.0,0,1,0,0,0,0.14548421239229067,0.3069787439966801,0.1850524784163704,0.18505247841637038,0.17743208677828837
757.0,0,1,0,0,0,0.14548421238413262,0.30697874404475145,0.18505247838996178,0.18505247838996178,0.17743208679119238
758.0,0,1,0,0,0,0.14548421238280143,0.30697874404786757,0.18505247839091843,0.18505247839091843,0.1774320867874941
759.0,0,1,0,0,0,0.1454842123831646,0.3069787440464173,0.18505247839132585,0.18505247839132585,0.1774320867877665
760.0,0,1,0,0,0,0.14548421238313916,0.3069787440465643,0.18505247839124658,0.18505247839124658,0.17743208678780334
761.0,0,1,0,0,0,0.1454842123831354,0.3069787440465729,0.18505247839124972,0.1850524783912497,0.17743208678779235
762.0,0,1,0,0,0,0.14548421238313647,0.30697874404656866,0.18505247839125089,0.1850524783912509,0.1774320867877932
763.0,0,1,0,0,0,0.14548421238313636,0.306978744046569,0.18505247839125066,0.18505247839125066,0.1774320867877933
764.0,0,1,0,0,0,0.14548421238313636,0.30697874404656905,0.18505247839125066,0.18505247839125066,0.17743208678779326
765.0,0,1,0,0,0,0.14548421238313639,0.3069787440465691,0.18505247839125066,0.18505247839125066,0.17743208678779326
766.0,0,1,0,0,0,0.14548421238313639,0.30697874404656905,0.1850524783912507,0.18505247839125066,0.17743208678779326
767.0,0,1,0,0,0,0.14548421238313636,0.3069787440465691,0.18505247839125072,0.18505247839125066,0.17743208678779326
768.0,0,1,0,0,0,0.14548421238313636,0.306978744046569,0.18505247839125066,0.18505247839125066,0.17743208678779326
769.0,0,1,0,0,0,0.14548421238313639,0.3069787440465691,0.18505247839125066,0.18505247839125066,0.17743208678779326
770.0,0,1,0,0,0,0.14548421238313639,0.30697874404656905,0.1850524783912507,0.18505247839125066,0.17743208678779326
771.0,0,1,0,0,0,0.14548421238313636,0.3069787440465691,0.18505247839125072,0.18505247839125066,0.17743208678779326
772.0,0,1,0,0,0,0.14548421238313636,0.306978744046569,0.18505247839125066,0.18505247839125066,0.17743208678779326
773.0,0,1,0,0,0,0.14548421238313639,0.3069787440465691,0.18505247839125066,0.18505247839125066,0.17743208678779326
774.0,0,1,0,0,0,0.14548421238313639,0.30697874404656905,0.1850524783912507,0.18505247839125066,0.17743208678779326
775.0,0,1,0,0,0,0.14548421238313636,0.3069787440465691,0.18505247839125072,0.18505247839125066,0.17743208678779326
776.0,0,1,0,0,0,0.14548421238313636,0.306978744046569,0.18505247839125066,0.18505247839125066,0.17743208678779326
777.0,0,1,0,0,0,0.14548421238313639,0.3069787440465691,0.18505247839125066,0.18505247839125066,0.17743208678779326
778.0,0,1,0,0,0,0.14548421238313639,0.30697874404656905,0.1850524783912507,0.18505247839125066,0.17743208678779326
779.0,0,1,0,0,0,0.14548421238313636,0.3069787440465691,0.18505247839125072,0.18505247839125066,0.17743208678779326
780.0,0,1,0,0,0,0.14548421238313636,0.306978744046569,0.18505247839125066,0.18505247839125066,0.17743208678779326
781.0,0,1,0,0,0,0.14548421238313639,0.3069787440465691,0.18505247839125066,0.18505247839125066,0.17743208678779326
782.0,0,1,0,0,0,0.14548421238313639,0.30697874404656905,0.1850524783912507,0.18505247839125066,0.17743208678779326
783.0,0,1,0,0,0,0.14548421238313636,0.3069787440465691,0.18505247839125072,0.18505247839125066,0.17743208678779326
784.0,0,1,0,0,0,0.14548421238313636,0.306978744046569,0.18505247839125066,0.18505247839125066,0.17743208678779326
785.0,0,1,0,0,0,0.14548421238313639,0.3069787440465691,0.18505247839125066,0.18505247839125066,0.17743208678779326
786.0,0,1,0,0,0,0.14548421238313639,0.30697874404656905,0.1850524783912507,0.18505247839125066,0.17743208678779326
787.0,0,1,0,0,0,0.14548421238313636,0.3069787440465691,0.18505247839125072,0.18505247839125066,0.17743208678779326
788.0,0,1,0,0,0,0.14548421238313636,0.306978744046569,0.18505247839125066,0.18505247839125066,0.17743208678779326
789.0,0,1,0,0,0,0.14548421238313639,0.3069787440465691,0.18505247839125066,0.18505247839125066,0.17743208678779326
790.0,0,1,0,0,0,0.14548421238313639,0.30697874404656905,0.1850524783912507,0.18505247839125066,0.17743208678779326
791.0,0,1,0,0,0,0.14548421238313636,0.3069787440465691,0.18505247839125072,0.18505247839125066,0.17743208678779326
792.0,0,1,0,0,0,0.14548421238313636,0.306978744046569,0.18505247839125066,0.18505247839125066,0.17743208678779326
